author,category,datePublished,description,images,numberOfPages,price,sub_category,title
Nguyễn Quỳnh Lan,Sách Kinh Tế,01/04/2017,"Thông tin tác giả    Neil Rackham     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Phương pháp bán hàng hiệu quả nhất hiện nay dựa trên nghiên cứu về 35.000 vụ mua bán, được sử dụng bởi những chuyên gia bán hàng hàng đầu thế giớiTrong lĩnh vực quản trị kinh doanh, bán hàng luôn được coi là một nghề đầy sức hấp dẫn và thú vị. Có lẽ vì như một chuyên gia bán hàng đã nói, hầu như chúng ta ai cũng phải bán một cái gì đó. Nhưng để thành công trong bán hàng lại là việc không hề đơn giản.Đã có rất nhiều cuốn sách viết về bán hàng. Mỗi cuốn lại tiếp cận bán hàng theo những khía cạnh và cách thức khác nhau. Nhưng khác với các cuốn sách về nghệ thuật bán hàng, Tăng tốc bán hàng bằng SPIN của tác giả Neil Rackham không nói về nghệ thuật bán hàng thông qua các bí kíp mà đưa ra mô hình chuỗi câu hỏi SPIN (viết tắt của Situation questions, Problem questions, Implication questions, Need-payoff questions hay còn gọi là các câu hỏi Tình hình, câu hỏi Vấn đề, câu hỏi Gợi ý và câu hỏi Chi phí nhu cầu).Tăng tốc bán hàng bằng SPIN của Neil Rackham không phải là lý thuyết sáo rỗng về cách bán hàng mà là những nghiên cứu hết sức khoa học và cụ thể của Huthwaite – công ty chuyên nghiên cứu về phương pháp bán hàng hiệu quả của Neil Rackham.Đọc Tăng tốc bán hàng bằng SPIN, bạn có thể thấy được sự khác nhau giữa bán hàng quy mô lớn và bán hàng quy mô nhỏ. Bạn cũng sẽ hiểu được tại sao có những thủ thuật bán hàng có thể thành công với các cuộc bán hàng quy mô nhỏ nhưng lại kém hiệu quả với các cuộc bán hàng quy mô lớn và rất, rất nhiều điều thú vị khác chỉ có thể tìm thấy trong Tăng tốc bán hàng bằng SPIN.Mời các bạn đón đọc.",full/f5c18c19ae21809e3dea2e974e64d8951816b0d5.jpg,328.0,89.000,Marketing – Bán hàng,Tăng Tốc Bán Hàng Bằng Spin (Tái Bản 2017)
TS. Đào Xuân Khương,Sách Kinh Tế,08/05/2017,"Thông tin tác giả    TS. Đào Xuân Khương     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mô hình chất lượng dịch vụ trong bán lẻ - Giải pháp dành cho DN bán lẻ và DN kinh doanh dịch vụĐây là cuốn sách thứ hai của tôi về Mô hình kinh doanh. Cuốn 1 nói về mô hình phân phối bán lẻ – giải pháp nào cho doanh nghiệp Việt Nam. Cuốn 2 này là về mô hình chất lượng dịch vụ – từ nhận thức tới hành động – giải pháp dành cho doanh nghiệp bán lẻ và doanh nghiệp kinh doanh dịch vụ. Xin được bắt đầu cuốn sách bằng hai câu chuyện đang là hiện tượng của nền kinh tế Việt Nam về ngành bán lẻ và ngành cung cấp dịch vụ.Trong kinh doanh hàng hóa bán lẻ, câu chuyện của Thế giới di động từng thu hút được sự chú ý của dư luận. Năm 2016, Thế giới di động thông báo doanh thu trên 2 tỷ đô la (tương đương với 44 ngàn tỷ đồng), trong khi doanh thu của Saigon Co.op chỉ đạt mức 28 ngàn tỷ đồng. Thế giới di động chính thức trở thành nhà bán lẻ có doanh số lớn nhất Việt Nam, mặc dù năm trước vị trí này thuộc về Saigon Co.op. Năm 2017, doanh thu mục tiêu của Thế giới di động là hơn 63 ngàn tỷ đồng. Đây là con số thực sự lớn, khi tại Việt Nam chỉ có các doanh nghiệp nhà nước và doanh nghiệp có vốn đầu tư nước ngoài mới đạt được. Chẳng hạn, doanh thu của Samsung Thái Nguyên năm 2015 đạt 370 ngàn tỷ đồng, doanh thu của Viettel năm 2016 đạt hơn 256 ngàn tỷ đồng, doanh thu của VNPT năm 2016 đạt hơn 135 ngàn tỷ đồng, Honda Việt Nam 2015 đạt 68 ngàn tỷ đồng, Vietnam Airlines năm 2015 đạt 66 ngàn tỷ đồng.Vậy tại sao Thế giới di động lại làm được như vậy?Vậy tại sao Vietjet Air làm được như vậy?Trong ngành bán lẻ, nghiên cứu tiêu biểu cho chất lượng dịch vụ là của Dabholka và cộng sự (1996). Mô hình chất lượng dịch vụ bán lẻ (RSQS) phù hợp với các hình thức bán lẻ như: trung tâm thương mại, đại siêu thị, siêu thị tổng hợp. Đồng thời, nghiên cứu cũng chỉ ra rằng có thể áp dụng mô hình chất lượng dịch vụ bán lẻ (RSQS) cho các cửa hàng bán lẻ tại các nước có nền kinh tế chuyển đổi từ kinh tế kế hoạch hóa sang kinh tế thị trường.Cuốn sách được viết dựa trên các nghiên cứu về bán lẻ và chất lượng dịch vụ. Đặc biệt, nó còn gắn liền với nghiên cứu từ thị trường Việt Nam. Cuốn sách được chia thành 4 phần:Phần 1 của cuốn sách sẽ cung cấp cho quý độc giả các thông tin tổng quan về quá trình phát triển và các loại hình bán lẻ đang tồn tại ở Việt Nam và trên thế giới. Đồng thời, tôi cũng xin đưa ra một số xu hướng bán lẻ đang thịnh hành. Sau khi đọc xong phần này, quý độc giả sẽ hiểu rõ hơn bán lẻ là gì, mô hình này đã phát triển như thế nào và đặc biệt, các quý độc giả đang kinh doanh bán lẻ sẽ biết được loại hình kinh doanh của mình có phù hợp với xu hướng phát triển hiện nay hay không để có các điều chỉnh thích hợp. Sang phần 2, chúng ta sẽ cùng tìm hiểu thêm về chất lượng dịch vụ, định nghĩa, cách tiếp cận hệ thống thống nhất về chất lượng dịch vụ. Quý độc giả sẽ tìm thấy câu trả lời cho các thắc mắc của mình như: Chất lượng dịch vụ là gì? Nó có giống như chất lượng hàng hóa không? Các nhân tố nào cấu thành nên chất lượng dịch vụ? Những yếu tố bên ngoài nào tác động tới chất lượng dịch vụ? Quan trọng hơn, quý độc giả sẽ được cung cấp các mô hình về chất lượng dịch vụ để từ đó có thể liên hệ áp dụng cho doanh nghiệp của mình. Các bạn sẽ tiếp cận mô hình lý thuyết đã được tôi xây dựng riêng cho các siêu thị và cửa hàng bán lẻ chuyên doanh tại Việt Nam.Phần 3 của cuốn sách là phần để tác giả kiểm định mô hình lý thuyết của mình tại các siêu thị và cửa hàng chuyên doanh tại Hà Nội. Quý độc giả sẽ thấy được bức tranh sống động toàn cảnh về loại hình bán lẻ đang phát triển nhất tại Việt Nam hiện nay. Tôi đã sử dụng mô hình lý thuyết này để đánh giá “thực tế chất lượng dịch vụ tại các siêu thị và cửa hàng chuyên doanh tại Hà Nội” và so sánh nó với mong đợi của người tiêu dùng để từ đó tìm ra khoảng trống – GAP về chất lượng dịch vụ. Quý độc giả hãy đọc kỹ phần này, tuy hơi khó đọc nhưng các bạn hoàn toàn có thể áp dụng được ngay các phương pháp đánh giá chất lượng dịch vụ cho doanh nghiệp của mình.Trong phần cuối của cuốn sách, tôi có đưa ra một vài gợi ý nhằm giúp các doanh nghiệp có thể tìm ra các giải pháp nâng cao chất lượng dịch vụ khiến khách hàng hài lòng hơn, có thêm nhiều khách hàng trung thành hơn trong tương lai. Xin được trân trọng giới thiệu cuốn sách này tới quý vị độc giả! Tiến sĩ Đào Xuân KhươngMời bạn đón đọc.",full/b0b593c592fc1d90e220e431c768bc37af753020.jpg,196.0,52.000,Marketing – Bán hàng,Mô Hình Chất Lượng Dịch Vụ Trong Bán Lẻ
Đặng Việt Vinh,Sách Kinh Tế,26/05/2017,"Thông tin tác giả    Ryan Holiday     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách nhập môn cho nghệ thuật Quan hệ công chúng, Marketing và Quảng cáo trong tương lai.Nghề mới mang tên “Chuyên gia tăng trưởng siêu tốc” đang hòa nhập vào nền văn hóa của Thung lũng Silicon, nhấn mạnh rằng kỹ năng mã hóa và hiểu biết kỹ thuật hiện đang là một phần quan trọng của một nhà marketing giỏi. Chuyên gia tăng trưởng siêu tốc là sự kết hợp giữa một nhà marketing và lập trình, người luôn lật đi lật lại câu hỏi muôn thuở: “Làm sao có thể thu hút khách hàng cho sản phẩm của mình?” và những câu trả lời bằng những thử nghiệm phân tách A/B, những trang chỉ dẫn, nhân tố lan truyền, gửi thư điện tử và giao thức Open Graph…Toàn bộ đội ngũ marketing đang bị phá vỡ. Không phải là mô hình kiểu một phó giám đốc marketing cùng một nhóm các nhà marketing không cần công nghệ báo cáo công việc, chuyên gia tăng trưởng siêu tốc là những kỹ sư lãnh đạo những đội ngũ kỹ sư khác. Trong cuốn sách này, chúng ta sẽ xem xét cách mà các nhà marketing tăng trưởng siêu tốc đã giúp các công ty như Dropbox, Mailbox, Twitter, Pinterest, Facebook, Snapchat, Evernote, Instagram, Mint.com, AppSumo và StumbleUpon thành công từ những nền tảng hầu như chẳng có gì.Mời bạn đón đọc.",full/80788ca856f4e75b95b985f4b1022542bbc1cf5f.jpg,144.0,59.000,Marketing – Bán hàng,Chuyên Gia Tăng Trưởng Siêu Tốc
Kim Huệ,Sách Thường Thức – Đời Sống,01/12/2018,"Thông tin tác giả    Hạ A Giang     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Kim Thư      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong quá trình giáo dục con trẻ, ngoài việc quan tâm bồi dưỡng tri thức, cha mẹ cần đặt vấn đề hình thành và nuôi dưỡng nhân cách tốt lên vị trí hàng đầu. Để trẻ có được năng lực và phẩm chất đạo đức tốt, cha mẹ nên tiến hành giáo dục tính cách cho trẻ trong thời gian dài, bắt đầu từ những việc nhỏ trong sinh hoạt hàng ngày.Chúng ta cần biết rằng: tính cách là thái độ đối với hiện thực và phương thức hành vi mang tính thói quen hóa đã được hình thành trong thực tiễn của con người. Những đứa trẻ có tính cách độc lập, chủ động và cởi mở sẽ luôn tích cực tham gia các hoạt động chung, có thể phát huy tính năng động của bản thân, luôn hứng thú với những sự vật, sự việc mới, từ đó giúp năng lực và trí lực phát triển nhanh chóng, dễ dàng gặt hái thành công trong tương lai.Vì vậy, những bậc cha mẹ sáng suốt nên chú trọng bồi dưỡng tính cách cho trẻ ngay từ nhỏ, giúp trẻ bước những bước vững chắc, thuận lợi trong suốt chặng đường đời.Mời bạn đón đọc.",full/5fba62027fed2d532e6e209d1ea0eea00953f3d1.jpg,272.0,99.000,"Gia đình, nuôi dạy con",Cùng Con Khôn Lớn - Tập 1: Rèn Luyện Tính Cách (Tái Bản 2018)
Lê Lan Anh,Sách Thiếu Nhi,01/03/2019,"Thông tin tác giả    Kim Ngân 
                                                                                                                                            Kim Ngân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Lê Lan Anh 
                                                                                                                                            Lê Lan Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là sách kỹ năng cho trẻ mầm non, tiểu học. Sách giúp trẻ ứng xử lễ phép, đúng chuẩn mực giao tiếp trong phép lịch sự khi ăn uống.Mời bạn đón đọc.",full/55422996dcff52d518892eee09d9d5080fab63d1.jpg,40.0,25.000,Khoa học xã hội,Con Lớn Từng Ngày - Ăn Ngoan Để Lớn
Lê Lan Anh,Sách Thiếu Nhi,01/03/2019,"Thông tin tác giả    Kim Ngân 
                                                                                                                                            Kim Ngân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Lê Lan Anh 
                                                                                                                                            Lê Lan Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là sách kỹ năng cho trẻ mầm non, tiểu học. Sách giúp trẻ tính tự lập, tự chủ trong những sinh hoạt thông thường khi mẹ và người lớn vắng nhà, đi công việc, công tác.Mời bạn đón đọc.",full/fa9f02b20fd99936aea157b65110586c12424a5b.jpg,36.0,25.000,Khoa học xã hội,Con Lớn Từng Ngày - Khi Mẹ Vắng Nhà
Lê Lan Anh,Sách Thiếu Nhi,01/03/2019,"Thông tin tác giả    Kim Ngân 
                                                                                                                                            Kim Ngân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Lê Lan Anh 
                                                                                                                                            Lê Lan Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là sách kỹ năng cho trẻ mầm non, tiểu học. Sách giúp trẻ tính tự lập, tự chủ thông qua những chuyến du lịch, dã ngoại cùng ba mẹ.Mời bạn đón đọc.",full/fe2bb5093dd4d40ec6470e9690a5b16bf458e5f2.jpg,40.0,25.000,Khoa học xã hội,Con Lớn Từng Ngày - Lớn Lên Theo Từng Chuyến Đi
Đoàn Phạm Thùy Trang,Sách Thiếu Nhi,01/03/2019,"Thông tin tác giả    Mariano Epelbaum     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Anita Ganeri 
                                                                                                                                            Anita Ganeri
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bạn có biết cha ông ta ngày trước chưa có công cụ lao động, chưa có vật dụng cần thiết vẫn có thể săn bắt, hái lượm để có lương thực sinh tồn? Quá trình đó không hề dễ dàng, mà phải rèn luyện, cả thể xác, tinh thần lẫn kinh nghiệm thực chiến. Cẩm nang sinh tồn của Thợ săn Thời Đồ Đá sẽ chỉ cho bạn bí quyết làm một thợ săn lành nghề Thời Đồ Đá, bạn có dám thử hay không?Mời bạn đón đọc.",full/c5d460f791385b64f7d7435dc1e2249a33333296.jpg,32.0,25.000,Khoa học xã hội,Cẩm Nang Sinh Tồn Của Thợ Săn Thời Đồ Đá
Đoàn Phạm Thùy Trang,Sách Thiếu Nhi,01/03/2019,"Thông tin tác giả    Mariano Epelbaum     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Anita Ganeri 
                                                                                                                                            Anita Ganeri
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Các chiến binh Viking hung hãn và cao to, với bộ giáp, mũ sừng và chiếc dùi bạn thường thấy trên phim ảnh, tranh truyện lúc bé cũng phải trải qua huấn luyện và cạnh tranh thê thảm. Cẩm nang sinh tồn của Chiến binh Viking sẽ chỉ cho bạn tất tần tật những điều cần thiết để trở thành một chiến binh Viking dũng mãnh đồng thời giúp bạn tìm hiểu thêm nhiều phong tục tập quán thú vị của các chiến binh lưu động xứ Bắc Âu, những nhà thám hiểm khám phá các vùng đất lạ (sẵn chiếm luôn), những thương nhân tài ba của bán đảo Scandinavia.Mời bạn đón đọc.",full/ef2d0532867a4b36094090c55ad5562f28d32de2.jpg,32.0,25.000,Khoa học xã hội,Cẩm Nang Sinh Tồn Của Chiến Binh Viking
Hạnh Nguyễn,Sách Phát Triển Bản Thân,20/08/2019,"Thông tin tác giả    Daisetsu Fujita     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Đối thoại với Socrates – Những cuộc nói chuyện làm thay đổi cuộc đời bạn” là cuốn sách về những cuộc trò chuyện của tác giả Daisetsu Fujita với nhân vật Socrates – một triết gia đến từ Hy Lạp. Thông qua những cuộc trò chuyện đó, Socrates giúp tác giả và cả người đọc sáng tỏ những khúc mắc trong lòng về Tình yêu, Tình bạn, Công việc…Không có sự kìm kẹp nào về suy nghĩ, thay vào đó, Socrates luôn đưa ra những câu truy vấn đơn giản, khiến đối phương lơ đễnh, từ từ cho đối phương thấy vấn đề thực sự. Đối phương sẽ bị lão dẫn dắt đến kết luận không ngờ tới từ chính câu trả lời của họ.Đó là suy nghĩ thật của chính người đó.Bạn đã từng đặt câu hỏi “Thế nào mới là sống tốt?”. Bạn vẫn luôn suy nghĩ và tìm kiếm câu trả lời?Với Socrates, tâm hồn là nơi thử thách giá trị của con người. Sống thôi là chưa đủ, quan trọng phải là sống tốt. Để sống tốt, ta phải không ngừng xem lại cách sống của bản thân. Và cứ như thế, ta sẽ khác ta của ngày hôm trước.Tương tự, bạn liệu đã từng tự hỏi “Thế nào là tình yêu? Vì sao chúng ta cứ không ngừng khao khát rồi lại thấy nhạt nhẽo dần rồi chán ghét?”, hay “Tiêu tiền thế nào cho đúng đắn?” hoặc “Tình bạn thật sự là như thế nào?”…Tất cả những chiêm nghiệm của bạn về Tình bạn, Tình yêu, Công việc, Tiền bạc… chắc chắn đều sẽ thay đổi – sau khi đọc cuốn sách tưởng chừng rất “hoang đường” này!Mời bạn đón đọc.",full/e37f0ae45f68392e1901fab54350fca42e2a35a8.jpg,196.0,69.000,Sách học làm người,Đối Thoại Với Socrates
Hương Nghi,Sách Phát Triển Bản Thân,20/08/2019,"Thông tin tác giả    Cổ Minh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     CỐT CÁCH LÀM NÊN VẺ ĐẸP THỰC SỰ CỦA MỘT NGƯỜI PHỤ NỮPhụ nữ xinh đẹp có thể khiến đàn ông dừng chân nhưng cốt cách của người phụ nữ mới khiến đàn ông lưu luyến.Có khi nào bạn bắt gặp những cô gái chỉ cần nhoẻn môi cười, nét mặt liền trở nên rạng rỡ như ánh nắng ban mai, lấp lánh và ấm áp? Một cô gái luôn mang nụ cười rạng rỡ thì chắc hẳn nội tâm của cô ấy tĩnh lặng, thuần khiết và tươi sáng như nắng xuân.Người con gái có nụ cười ngọt ngào như vậy luôn mang đến cảm giác bình yên, thoải mái cho người đối diện và thường gặp nhiều may mắn trong cuộc sống.Đấy chính là vẻ đẹp thực sự của người phụ nữ.Vẻ đẹp thực sự của phụ nữ không đến từ khuôn mặt xinh đẹp, làn da trắng ngần, hay những đường cong trên cơ thể…Dù cô gái ấy có xinh đẹp cỡ nào đi chăng nữa nhưng cư xử thô lỗ, kém duyên thì những gì đọng lại trong tâm trí những người xung quanh cũng chỉ là sự vô ý hay những cử chỉ lỗ mãng mà thôi.Vẻ đẹp thực sự đến từ nụ cười chân thành, ánh mắt biết cười, cử chỉ nhu thuận, thanh tao,… Vẻ đẹp thực sự đến từ khí chất toát ra từ nội tâm, từ trí óc thông tuệ, từ vẻ hòa nhã, thanh lịch, từ tấm lòng nhân hậu, bao dung,…“Ôn nhu cũng là quyến rũ” là cuốn sách đã khiến hàng chục triệu phụ nữ trên thế giới, đặc biệt tại các nước châu Á thay đổi cách suy nghĩ về sự lôi cuốn của mình. Cuốn sách sẽ giúp bạn “tỉnh” và nhận ra những sai lầm, những lối mòn trong suy nghĩ trước đây vẫn mắc phải:Ôn nhu không phải là nhu nhược, yếu đuối hay ủy mị. Ôn nhu chính là sự thiện lương, dịu dàng, biết mềm mỏng đúng lúc nhưng quyết đoán khi cần.Đừng để khuôn mặt xinh đẹp nói lên bạn là ai mà hãy để trí tuệ và cách cư xử của bạn nói lên điều đó.Đàn ông có thể yêu thích một cô gái xinh đẹp nhưng không thể sống cả đời với một người có cái đầu rỗng tuếch.Đừng quên trau dồi và rèn luyện bản thân mỗi ngày để ngày càng trở nên thông tuệ và hiểu biết hơn.“Ôn nhu cũng là quyến rũ” – Cuốn sách dành cho những cô gái đang tìm kiếm vẻ đẹp đích thực. Đấy chính là vẻ đẹp không bị mài mòn theo thời gian, mà ngược lại, năm tháng qua đi, sự mặn mà, đằm thắm ấy càng ngày càng sắc nét, tròn vị.Mời bạn đón đọc.",full/9abcb744677c7075ce3f3cae16e66693f70a7043.jpg,320.0,89.000,Sách học làm người,Ôn Nhu Cũng Là Quyến Rũ
RBL,Sách Phát Triển Bản Thân,16/08/2019,"Thông tin tác giả    Jim Randel     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hầu như mọi thứ trong đời bạn có thể là kết quả của một ý tưởng mới, một cách tiếp cận mới, một dự án mới, một thử thách mới. Nhưng đầu tiên bạn phải bắt đầu đã.Nhiều người cảm thấy ý tưởng của mình sẽ chẳng đi đến đâu, nên họ không bao giờ bắt đầu. Những người khác sợ hãi thất bại, nên họ không bao giờ để suy nghĩ của mình được tự do. Những người đó đã tự đánh bại chính mình từ trước khi bắt đầu. Ý tưởng nào cũng có thể thất bại, khiến bạn trông thật ngu ngốc, cảm thấy xấu hổ. Giờ thì hãy để chúng đấy. Thất bại, xấu hổ, sợ hãi – đó là một phần của trò chơi sáng tạo. Bạn không muốn chấp nhận những điều đó thì bạn không thể đi tiếp.Bạn cần làm gì đấy để ép mình phải trở nên sáng tạo nhất, như thiết kế trang phục, viết một cuốn sách, vẽ tranh hay sáng tác nhạc...Tại sao?Bởi vì thế giới không ban thưởng cho cái gì “cũ kĩ”. Thế giới trân trọng những người dám thử thách, và những người bước đi trên con đường “chẳng mấy ai dám đi”.Mời bạn đón đọc.",full/f49687ffa6708dc932ded3ddded95152e79f16db.jpg,168.0,65.000,Sách học làm người,"Đột Phá Tư Duy, Phi Thường Sáng Tạo"
Hà Giang,Sách Phát Triển Bản Thân,20/08/2019,"Thông tin tác giả    Tống Mặc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.Cái gì cũng nói toạc ra, cái gì cũng bộc lộ hết không phải là thẳng tính, mà là thiếu bản lĩnh. Suy cho cùng, tất cả những cảm xúc tiêu cực của con người đều là sự phẫn nộ dành cho bất lực của bản thân. Nếu bạn đúng, bạn không cần phải nổi giận. Nếu bạn sai, bạn không có tư cách nổi giận.Đem một nắm muối bỏ vào cốc nước, cốc nước trở nên mặn chát. Đem một nắm muối bỏ vào hồ nước, hồ nước vẫn ngọt lành. Lòng người cũng vậy, càng nông cạn càng dễ biến chất, càng sâu sắc càng khó lung lay. Ý nghĩa của đời người không ngoài việc tu tâm dưỡng tính, để mở lòng ra bao la như biển hồ, trước những nắm muối thị phi của cuộc đời vẫn thản nhiên không xao động.“Nóng giận là bản năng, tĩnh lặng là bản lĩnh” là từ bỏ “tam độc”, tu dưỡng một trái tim trong sáng:Từ bỏ “tham” – bớt một phần ham muốn, thêm một phần tự do.Từ bỏ “sân” – bớt một phần tranh chấp, thêm một phần ung dung.Từ bỏ “si” – bớt một phần mê muội, thêm một phần tĩnh tâm.Cuốn sách là tập hợp những bài học, lời tâm sự về nhân sinh, luận về cuộc đời của đại sư Hoằng Nhất – vị tài tử buông mọi trần tục để quy y cửa Phật, người được mệnh danh tinh thông kim cổ và cũng có tầm ảnh hưởng lớn trong Phật giáo.Trưởng thành, hãy để lòng rộng mở, tiến gần đến chữ “Người”, học được cách bao dung, học được cách khống chế cảm xúc. Đừng để những xúc động nhất thời như ngọn lửa, tưởng thiêu rụi được kẻ thù mà thực ra lại làm bỏng tay ta trước.Mời bạn đón đọc.",full/6e15770615887733b2f3efc21a1b84f933ff16fb.jpg,264.0,89.000,Sách học làm người,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh"
Misthy Lọ Mọ,Sách Phát Triển Bản Thân,26/08/2019,"Thông tin tác giả    Misthy Lọ Mọ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách gồm các nỗi sợ mà con người phải đối mặt. Được diễn giải  từ nguyên nhân, ảnh hưởng đến cách đối phó rất khoa học, an toàn.Bạn có biết trong mỗi chúng ta có thể tồn tại hơn 80 hội chứng sợ hãi?Bạn có biết nỗi sợ hãi không đơn thuần là một trạng thái tâm lý mà là một bệnh lý?Sợ hãi là cảm xúc tiêu cực xuất hiện từ việc nhận thức các mối đe dọa. Đây là một cơ chế tồn tại cơ bản xảy ra trong phản ứng với một kích thích cụ thể, chẳng hạn như đau hoặc nguy hiểm đe dọa. Số ít sự sợ hãi của chúng ta là phản ứng tức thì với một kích thích trong hiện tại. Hầu hết nỗi sợ hãi luôn luôn liên quan đến các sự kiện trong tương lai khiến tình hình trở nên tồi tệ hơn hoặc tiếp tục tình huống đó mà không thể chấp nhận được. Nỗi sợ vô hình trung tạo nên khoảng cách giữa con người với con người, giữa con người với thế giới xung quanh.Ta có thể phân loại nỗi sợ theo hai dạng: nỗi sợ bản năng và nỗi sợ tâm lý.Chúng ta buộc phải sợ, vì chỉ khi sợ hãi chúng ta mới biết cách vượt qua nỗi sợ như thế nào. Không phải nỗi sợ hãi nào cũng có thể triệt tiêu một cách triệt để. Thay vì tránh né, ta phải nhìn sâu vào chính nỗi sợ của bản thân và học cách xử trí hoặc chấp nhận sự tồn tại của chúng như một phần tất yếu của cuộc sống.Mời bạn đón đọc.",full/54c4dabb36cbfbb509151550f4a593fbd359556d.jpg,256.0,99.000,Sách học làm người,Khống Chế Nỗi Sợ
Nguyễn Vũ Thành,Sách Phát Triển Bản Thân,26/08/2019,"Thông tin tác giả    Herb Cohen     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thế giới là một bàn đàm phán khổng lồ, và muốn hay không, bạn là một người tham dự. Bạn, với tư cách một cá nhân, sẽ có lúc mâu thuẩn với người khác: các thành viên trong gia đình, nhân viên bán hàng, đối thủ cạnh tranh, hoặc các thực thể với những cái tên đầy oai vệ như “Giới quyền uy” hoặc “cơ cấu quyền lực”. Cách bạn xử lý những mâu thuẫn này có thể quyết định không chỉ sự phát đạt của bạn, mà cả việc bạn có thể có được một cuộc sống đầy đủ, thú vị và thoải mái hay không.Đàm phán là một lĩnh vực kiến thức và sự nỗ lực chú trọng vào việc làm hài lòng những người mà bạn muốn nhận từ họ (một hoặc nhiều) thứ gì đó. Chỉ đơn giản như vậy. Hầu như tất cả mọi thứ đều có thể thoả thuận được, nhưng làm thế nào để bước ra từ mỗi cuộc đàm phán trong tư thế của người đạt được mục tiêu?Herb Cohen là một nhà đàm phán chuyên nghiệp trong hơn 40 năm, là cố vấn cho các tổng thống Jimmy Carter, Ronald Reagan về chống khủng bố, và là cố vấn cho các thương gia, tập đoàn và cơ quan chính phủ hàng đầu. Hoa kỳ như Bộ Ngoại giao, FIB, CIA, Bộ tư Pháp, Nhà Trắng…. Ngoài ra, ông còn tham gia giảng dạy tại các trường đại học hàng đầu Hoa Kỳ như Đại học Harvard, Đại học Michigan, viện Brookings, Học viện FBI.Trong cuốn sách Bạn có thể đám phám bất cứ điều gì, Herb Cohen chia sẻ với chúng ta kinh nghiệm của 40 năm tham gia và kết thúc thành công hàng nghìn cuộc đàm phán lớn nhỏ. Cuốn sách không chỉ trình bày những yếu tố căn bản trong đàm phán và các kiểu đàm phán chủ yếu, mà còn đưa ra những ví dụ minh hoạ thú vị và thiết thực cho những hoàn cảnh khác nhau, đề xuất những giải pháp xử lý mềm dẻo, tế nhị nhưng hiệu quả mỗi tình huống hay xung đột, dù là trong gia đình (Khi trẻ con khóc đòi quà…), trong cuộc sống hàng ngày (Khi vợ bạn im lặng.....), trong công việc (Khi xin tăng lương….) hay môi trường kinh doanh (Khi khai thuế lợi tức, khi mua đất…). Vì thế, Bạn có thể đàm phán bất cứ điều gì đã trở thành một trong những cuốn sách bán chạy nhất tại Mỹ hơn 9 tháng liền, và đã được dịch ra trên 20 thứ tiếng.Mời bạn đón đọc.",full/6b4298c41c84b5d3b31c0d529ecd7b6433402313.jpg,364.0,129.000,Sách học làm người,Bạn Có Thể Đàm Phán Bất Cứ Điều Gì (Tái Bản 2019)
